      year     month  %cAreaEU     SevDE
         0         1   100.000     0.983
         0         2   100.000     0.983
         0         3   100.000     0.983
         0         4   100.000     0.983
         0         5   100.000     0.983
         0         6   100.000     0.966
         0         7   100.000     0.965
         0         8   100.000     0.953
         0         9   100.000     0.936
         0        10   100.000     0.943
         0        11    31.818     0.284
         0        12    22.727     0.202
